table_schema,table_name,index_name,index_def
public,contact,idx_speed_contact_parent_id,CREATE INDEX idx_speed_contact_parent_id ON public.contact USING btree (parent_id)
public,contact,pk_contact,CREATE UNIQUE INDEX pk_contact ON public.contact USING btree (id)
public,contact,unique_contact_email_project_id,"CREATE UNIQUE INDEX unique_contact_email_project_id ON public.contact USING btree (email, project_id)"
public,contact_attributes,contact_attributes_pkey,"CREATE UNIQUE INDEX contact_attributes_pkey ON public.contact_attributes USING btree (contacts_id, attributes_id)"
public,contact_attributes,idx_speed_contact_attributes_attributes_id,CREATE INDEX idx_speed_contact_attributes_attributes_id ON public.contact_attributes USING btree (attributes_id)
public,contact_attributes,idx_speed_contact_attributes_contacts_id,CREATE INDEX idx_speed_contact_attributes_contacts_id ON public.contact_attributes USING btree (contacts_id)
public,contact_attributes_aud,contact_attributes_aud_pkey,"CREATE UNIQUE INDEX contact_attributes_aud_pkey ON public.contact_attributes_aud USING btree (contacts_id, attributes_id, rev)"
public,contact_attributes_aud,idx_contact_attributes_aud_revtype,CREATE INDEX idx_contact_attributes_aud_revtype ON public.contact_attributes_aud USING btree (revtype)
public,contact_aud,idx_contact_aud_id,CREATE INDEX idx_contact_aud_id ON public.contact_aud USING btree (id)
public,contact_aud,idx_contact_aud_rev,CREATE INDEX idx_contact_aud_rev ON public.contact_aud USING btree (rev)
public,contact_aud,idx_contact_aud_revend,CREATE INDEX idx_contact_aud_revend ON public.contact_aud USING btree (revend)
public,contact_aud,idx_contact_aud_revtype,CREATE INDEX idx_contact_aud_revtype ON public.contact_aud USING btree (revtype)
public,contact_aud,idx_speed_contact_aud_parent_id,CREATE INDEX idx_speed_contact_aud_parent_id ON public.contact_aud USING btree (parent_id)
public,contact_documents,contact_documents_pkey,"CREATE UNIQUE INDEX contact_documents_pkey ON public.contact_documents USING btree (contacts_id, documents_id)"
public,contact_documents,idx_speed_contact_documents_contacts_id,CREATE INDEX idx_speed_contact_documents_contacts_id ON public.contact_documents USING btree (contacts_id)
public,contact_documents,idx_speed_contact_documents_documents_id,CREATE INDEX idx_speed_contact_documents_documents_id ON public.contact_documents USING btree (documents_id)
public,contact_documents_aud,contact_documents_aud_pkey,"CREATE UNIQUE INDEX contact_documents_aud_pkey ON public.contact_documents_aud USING btree (contacts_id, documents_id, rev)"
public,contact_documents_aud,idx_contact_documents_aud_revtype,CREATE INDEX idx_contact_documents_aud_revtype ON public.contact_documents_aud USING btree (revtype)
public,contact_impacts,contact_impacts_pkey,"CREATE UNIQUE INDEX contact_impacts_pkey ON public.contact_impacts USING btree (contacts_id, impacts_id)"
public,contact_impacts_aud,contact_impacts_aud_pkey,"CREATE UNIQUE INDEX contact_impacts_aud_pkey ON public.contact_impacts_aud USING btree (contacts_id, impacts_id, rev)"
public,contact_impacts_aud,idx_contact_impacts_aud_revtype,CREATE INDEX idx_contact_impacts_aud_revtype ON public.contact_impacts_aud USING btree (revtype)
public,contract,idx_speed_contract_client_id,CREATE INDEX idx_speed_contract_client_id ON public.contract USING btree (client_id)
public,contract,idx_speed_contract_contractor_id,CREATE INDEX idx_speed_contract_contractor_id ON public.contract USING btree (contractor_id)
public,contract,idx_speed_contract_created_by_id,CREATE INDEX idx_speed_contract_created_by_id ON public.contract USING btree (created_by_id)
public,contract,idx_speed_contract_notice_period_unit_id,CREATE INDEX idx_speed_contract_notice_period_unit_id ON public.contract USING btree (notice_period_unit_id)
public,contract,idx_speed_contract_term_unit_id,CREATE INDEX idx_speed_contract_term_unit_id ON public.contract USING btree (contract_term_unit_id)
public,contract,idx_speed_contract_warranty_ends_reminder_unit_id,CREATE INDEX idx_speed_contract_warranty_ends_reminder_unit_id ON public.contract USING btree (warranty_ends_reminder_unit_id)
public,contract,idx_speed_contract_warranty_period_unit_id,CREATE INDEX idx_speed_contract_warranty_period_unit_id ON public.contract USING btree (warranty_period_unit_id)
public,contract,pk_contract,CREATE UNIQUE INDEX pk_contract ON public.contract USING btree (id)
public,contract_aud,idx_contract_aud_id,CREATE INDEX idx_contract_aud_id ON public.contract_aud USING btree (id)
public,contract_aud,idx_contract_aud_rev,CREATE INDEX idx_contract_aud_rev ON public.contract_aud USING btree (rev)
public,contract_aud,idx_contract_aud_revend,CREATE INDEX idx_contract_aud_revend ON public.contract_aud USING btree (revend)
public,contract_aud,idx_contract_aud_revtype,CREATE INDEX idx_contract_aud_revtype ON public.contract_aud USING btree (revtype)
